AnalystID,AnalystFirstName,AnalystLastName,AnalystEmail,AnalystRole,AnalystStudentStatus,AnalystIsActive
1,Chris,Johnson,chris.johnson@bcs.bruin.edu,Shift Lead,Undergraduate,1
2,Drew,Johnson,drew.johnson@bcs.bruin.edu,Tier 1,Undergraduate,1
3,Taylor,Anderson,taylor.anderson@bcs.bruin.edu,Tier 1,Graduate,1
4,Alex,Johnson,alex.johnson@bcs.bruin.edu,Tier 1,Graduate,1
5,Casey,Johnson,casey.johnson@bcs.bruin.edu,Tier 2,Undergraduate,0
6,Riley,Smith,riley.smith@bcs.bruin.edu,Tier 2,Undergraduate,1
7,Riley,Miller,riley.miller@bcs.bruin.edu,Tier 1,Graduate,1
8,Riley,Smith,riley.smith@bcs.bruin.edu,Shift Lead,Undergraduate,1
9,Jamie,Johnson,jamie.johnson@bcs.bruin.edu,Shift Lead,Graduate,1
10,Sam,Johnson,sam.johnson@bcs.bruin.edu,Tier 2,Undergraduate,1
11,Jamie,Miller,jamie.miller@bcs.bruin.edu,Shift Lead,Graduate,1
12,Riley,Miller,riley.miller@bcs.bruin.edu,Tier 1,Undergraduate,1
13,Morgan,Thomas,morgan.thomas@bcs.bruin.edu,Shift Lead,Undergraduate,1
14,Sam,Wilson,sam.wilson@bcs.bruin.edu,Shift Lead,Graduate,1
15,Jamie,Miller,jamie.miller@bcs.bruin.edu,Tier 1,Graduate,0
16,Jamie,Anderson,jamie.anderson@bcs.bruin.edu,Tier 1,Graduate,1
17,Jordan,Davis,jordan.davis@bcs.bruin.edu,Tier 1,Graduate,1
18,Jamie,Anderson,jamie.anderson@bcs.bruin.edu,Tier 2,Undergraduate,1
19,Sam,Davis,sam.davis@bcs.bruin.edu,Shift Lead,Undergraduate,1
20,Chris,Moore,chris.moore@bcs.bruin.edu,Shift Lead,Undergraduate,1
21,Chris,Thomas,chris.thomas@bcs.bruin.edu,Tier 1,Graduate,1
22,Sam,Johnson,sam.johnson@bcs.bruin.edu,Tier 2,Undergraduate,1
23,Morgan,Miller,morgan.miller@bcs.bruin.edu,Tier 2,Graduate,1
24,Jordan,Smith,jordan.smith@bcs.bruin.edu,Tier 2,Undergraduate,1
25,Sam,Miller,sam.miller@bcs.bruin.edu,Tier 1,Undergraduate,1
26,Morgan,Anderson,morgan.anderson@bcs.bruin.edu,Shift Lead,Undergraduate,1
27,Jamie,Taylor,jamie.taylor@bcs.bruin.edu,Shift Lead,Graduate,1
28,Riley,Moore,riley.moore@bcs.bruin.edu,Tier 2,Graduate,1
29,Jordan,Anderson,jordan.anderson@bcs.bruin.edu,Tier 2,Graduate,1
30,Jordan,Taylor,jordan.taylor@bcs.bruin.edu,Tier 2,Undergraduate,1
31,Alex,Brown,alex.brown@bcs.bruin.edu,Tier 1,Graduate,1
32,Taylor,Wilson,taylor.wilson@bcs.bruin.edu,Shift Lead,Undergraduate,1
33,Riley,Wilson,riley.wilson@bcs.bruin.edu,Shift Lead,Undergraduate,1
34,Morgan,Thomas,morgan.thomas@bcs.bruin.edu,Shift Lead,Graduate,1
35,Jamie,Wilson,jamie.wilson@bcs.bruin.edu,Tier 1,Graduate,1
36,Sam,Anderson,sam.anderson@bcs.bruin.edu,Shift Lead,Undergraduate,1
37,Jordan,Johnson,jordan.johnson@bcs.bruin.edu,Tier 2,Undergraduate,1
38,Casey,Johnson,casey.johnson@bcs.bruin.edu,Shift Lead,Graduate,1
39,Taylor,Taylor,taylor.taylor@bcs.bruin.edu,Tier 1,Graduate,1
40,Jamie,Thomas,jamie.thomas@bcs.bruin.edu,Tier 1,Graduate,1
41,Riley,Davis,riley.davis@bcs.bruin.edu,Tier 1,Undergraduate,0
42,Alex,Miller,alex.miller@bcs.bruin.edu,Shift Lead,Graduate,1
43,Taylor,Davis,taylor.davis@bcs.bruin.edu,Shift Lead,Graduate,1
44,Chris,Johnson,chris.johnson@bcs.bruin.edu,Shift Lead,Undergraduate,1
45,Jamie,Miller,jamie.miller@bcs.bruin.edu,Tier 1,Graduate,0
46,Drew,Wilson,drew.wilson@bcs.bruin.edu,Tier 1,Undergraduate,1
47,Riley,Smith,riley.smith@bcs.bruin.edu,Tier 1,Graduate,1
48,Chris,Anderson,chris.anderson@bcs.bruin.edu,Tier 2,Undergraduate,1
49,Riley,Davis,riley.davis@bcs.bruin.edu,Tier 2,Graduate,1
50,Morgan,Miller,morgan.miller@bcs.bruin.edu,Tier 1,Undergraduate,1
51,Drew,Miller,drew.miller@bcs.bruin.edu,Tier 1,Undergraduate,1
52,Casey,Smith,casey.smith@bcs.bruin.edu,Tier 1,Undergraduate,1
53,Riley,Johnson,riley.johnson@bcs.bruin.edu,Tier 1,Graduate,1
54,Jordan,Davis,jordan.davis@bcs.bruin.edu,Shift Lead,Undergraduate,1
55,Drew,Johnson,drew.johnson@bcs.bruin.edu,Shift Lead,Undergraduate,1
